Name	TPM
YMR260C_mRNA	56.879443
YPL090C_mRNA	252.199814
YNL067W_mRNA	70.334149
YKL096W-A_mRNA	877.794659
YLR264W_mRNA	1217.270876
YDR471W_mRNA	86.397180
YML073C_mRNA	158.705595
YLR110C_mRNA	1232.572203
YJL189W_mRNA	4202.233277
YBR126W-B_mRNA	237.673302
YKR094C_mRNA	155.697767
YOL120C_mRNA	199.056204
YOL013W-A_mRNA	54.369788
YLR264C-A_mRNA	323.306053
YHR005C-A_mRNA	59.040550
YKL180W_mRNA	179.392017
YLR167W_mRNA	409.645330
YAL003W_mRNA	136.088672
YER146W_mRNA	55.726103
YNL030W_mRNA	165.219950
YEL054C_mRNA	93.034924
YLR075W_mRNA	205.723675
YBR031W_mRNA	193.685112
YPL197C_mRNA	141.839878
YER056C-A_mRNA	189.124140
YFL031C-A_mRNA	78.642013
YCR031C_mRNA	420.288320
